,Accueil téléphonique,,,,,Message téléphonique,,,Site internet,,,,Locaux,,,Accueil physique,,,,Prestation,,,,,,,
2012 Education Total ayant donné un avis,15,14,14,14,8,8,9,5,,13,14,12,39,36,29,31,39,38,39,40,39,38,35,40,34,32,31
2013 Education,10%,0%,11%,0%,40%,0%,0%,57%,50%,50%,0%,25%,11%,0%,22%,0%,0%,23%,0%,0%,6%,6%,0%,11%,17%,0%,
2013 Education Total ayant donné un avis,5,7,7,5,5,0,0,6,4,4,4,3,18,17,18,8,18,15,17,18,18,18,17,18,18,10,
2009 Enfance,13%,3%,3%,,5%,,,,,,,,43%,39%,,7%,33%,10%,3%,2%,,2%,4%,2%,3%,,
2009 Enfance Total ayant donné un avis,115,116,116,,113,,,,,,,,127,128,,129,129,127,131,132,,132,130,131,132,,
2010 Enfance,4%,2%,2%,,1%,,,,,,55%,,21%,26%,,1%,16%,3%,3%,1%,,1%,1%,1%,3%,,
2010 Enfance Total ayant donné un avis,109,112,112,,111,,,,,,75,,130,134,,135,131,132,136,139,,139,135,138,139,,
2011 Enfance,13%,0%,13%,,13%,,,,,,27%,,10%,14%,,0%,0%,0%,5%,5%,,5%,0%,5%,0%,,
2011 Enfance Total ayant donné un avis,8,7,8,,8,,,,,,11,,21,22,,22,22,21,20,21,,19,18,19,19,,
2012 Enfance,12%,12%,12%,12%,9%,17%,33%,80%,,31%,8%,54%,42%,12%,16%,0%,17%,2%,2%,0%,0%,2%,24%,0%,6%,10%,0%
2012 Enfance Total ayant donné un avis,17,16,17,17,11,6,6,5,,13,12,11,33,42,37,35,41,48,43,43,42,43,41,44,36,30,19
2013 Enfance,4%,0%,0%,0%,10%,8%,25%,100%,10%,20%,15%,40%,19%,2%,8%,0%,2%,8%,2%,0%,2%,0%,0%,2%,4%,2%,
2013 Enfance Total ayant donné un avis,20,20,20,20,10,3,4,14,20,20,20,13,44,46,47,25,46,48,48,45,47,47,46,47,45,34,
2009 Etat civil,6%,6%,6%,,8%,,,,,,,,14%,12%,,7%,7%,9%,8%,6%,,7%,9%,8%,11%,,
2009 Etat civil Total ayant donné un avis,95,94,94,,91,,,,,,,,107,107,,107,109,107,109,108,,108,108,103,103,,
2010 Etat civil,7%,0%,0%,,0%,,,,,,6%,,6%,6%,,8%,6%,6%,11%,3%,,8%,6%,11%,11%,,
2010 Etat civil Total ayant donné un avis,30,31,31,,31,,,,,,17,,34,34,,36,36,34,36,36,,36,36,36,36,,
2011 Etat civil,0%,0%,0%,,0%,,,,,,27%,,24%,20%,,8%,25%,4%,8%,11%,,8%,30%,7%,7%,,
2010 Etat civil Total ayant donné un avis,9,9,9,,7,,,,,,15,,25,25,,24,24,26,25,27,,25,27,27,27,,
2012 Etat civil,17%,6%,6%,17%,17%,13%,14%,50%,,29%,25%,75%,47%,20%,20%,6%,9%,8%,10%,1%,6%,4%,7%,3%,4%,5%,8%
2012 Etat civil Total ayant donné un avis,18,18,18,18,12,8,7,4,,17,16,12,68,61,70,47,68,72,69,70,70,70,70,70,68,41,26
2013 Etat civil,6%,12%,18%,0%,0%,20%,0%,59%,20%,7%,20%,40%,27%,7%,3%,3%,0%,8%,0%,1%,1%,3%,1%,0%,3%,0%,
2013 Etat civil Total ayant donné un avis,16,16,16,16,6,5,6,12,15,14,15,9,74,63,76,15,76,61,75,75,75,75,74,75,75,12,
2009 Population,3%,0%,0%,,0%,,,,,,,,8%,6%,,6%,6%,9%,2%,2%,,2%,2%,2%,2%,,
2009 Population Total ayant donné un avis,33,33,33,,31,,,,,,,,50,50,,48,49,47,48,5,,50,50,50,50,,
2010 Population,0%,0%,0%,,0%,,,,,,0%,,0%,0%,,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,
2010 Population Total ayant donné un avis,4,4,4,,4,,,,,,3,,4,4,,4,4,4,4,4,,4,4,4,4,,
2011 Population,0%,0%,0%,,0%,,,,,,14%,,8%,7%,,7%,7%,21%,15%,13%,,13%,13%,13%,7%,,
2011 Population Total ayant donné un avis,3,3,2,,3,,,,,,7,,13,14,,14,14,14,13,15,,15,15,15,14,,
2012 Population,12%,3%,3%,3%,7%,40%,85%,78%,,19%,17%,53%,33%,16%,9%,5%,7%,6%,6%,5%,3%,4%,4%,4%,6%,11%,3%
2012 Population Total ayant donné un avis,36,35,35,35,14,5,13,14,,56,54,45,147,129,153,108,154,153,155,155,154,157,153,155,155,95,35
2013 Population,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,8%,0%,8%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,
2013 Population Total ayant donné un avis,1,1,1,1,0,2,2,1,2,2,2,12,10,12,2,13,10,13,13,13,13,13,13,13,2,2,
2009 Cimetière,2%,2%,2%,,2%,,,,,,,,7%,9%,,2%,2%,7%,4%,2%,,2%,13%,4%,2%,,
2009 Cimetière Total ayant donné un avis,45,45,45,,45,,,,,,,,45,44,,41,45,46,45,45,,45,44,45,44,,
2010 Cimetière,0%,0%,0%,,0%,,,,,,0%,,0%,0%,,0%,0%,0%,22%,0%,,0%,0%,0%,22%,,
2010 Cimetière Total ayant donné un avis,6,6,6,,6,,,,,,5,,7,7,,8,7,9,9,9,,9,7,8,9,,
2011 Cimetière,0%,0%,0%,,0%,,,,,,0%,,14%,14%,,14%,0%,0%,0%,0%,,0%,0%,0%,0%,,
2011 Cimetière Total ayant donné un avis,4,4,4,,4,,,,,,1,,7,7,,7,7,7,7,7,,7,7,7,7,,
2012 Cimetière,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,6%,0%,9%,0%,0%,0%,7%,0%,7%,0%,0%,0%,0%,0%,0%
2012 Cimetière Total ayant donné un avis,4,5,5,5,3,1,1,1,,1,1,1,15,13,11,14,14,15,15,14,15,14,14,15,15,11,7
